agency_cd,site_no,datetime,135389_00060_00003,135389_00060_00003_cd
USGS,08110100,2000-01-01,0.29,A
USGS,08110100,2000-01-02,0.29,A
USGS,08110100,2000-01-03,0.29,A
USGS,08110100,2000-01-04,0.26,A
USGS,08110100,2000-01-05,0.30,A
USGS,08110100,2000-01-06,0.26,A
USGS,08110100,2000-01-07,5.40,A
USGS,08110100,2000-01-08,23.0,A
USGS,08110100,2000-01-09,17.0,A
USGS,08110100,2000-01-10,6.20,A
USGS,08110100,2000-01-11,3.00,A
USGS,08110100,2000-01-12,1.70,A
USGS,08110100,2000-01-13,0.95,A
USGS,08110100,2000-01-14,0.70,A
USGS,08110100,2000-01-15,0.58,A
USGS,08110100,2000-01-16,0.59,A
USGS,08110100,2000-01-17,0.54,A
USGS,08110100,2000-01-18,0.53,A
USGS,08110100,2000-01-19,0.50,A
USGS,08110100,2000-01-20,0.49,A
USGS,08110100,2000-01-21,0.45,A
USGS,08110100,2000-01-22,0.46,A
USGS,08110100,2000-01-23,0.50,A
USGS,08110100,2000-01-24,0.42,A
USGS,08110100,2000-01-25,0.36,A
USGS,08110100,2000-01-26,0.32,A
USGS,08110100,2000-01-27,0.60,A
USGS,08110100,2000-01-28,0.77,A
USGS,08110100,2000-01-29,0.88,A
USGS,08110100,2000-01-30,1.60,A
USGS,08110100,2000-01-31,1.60,A
USGS,08110100,2000-02-01,1.10,A
USGS,08110100,2000-02-02,0.92,A
USGS,08110100,2000-02-03,0.73,A
USGS,08110100,2000-02-04,0.55,A
USGS,08110100,2000-02-05,0.47,A
USGS,08110100,2000-02-06,0.40,A
USGS,08110100,2000-02-07,0.46,A
USGS,08110100,2000-02-08,0.45,A
USGS,08110100,2000-02-09,0.55,A
USGS,08110100,2000-02-10,0.54,A
USGS,08110100,2000-02-11,0.54,A
USGS,08110100,2000-02-12,0.57,A
USGS,08110100,2000-02-13,0.57,A
USGS,08110100,2000-02-14,0.56,A
USGS,08110100,2000-02-15,0.61,A
USGS,08110100,2000-02-16,1.10,A
USGS,08110100,2000-02-17,1.20,A
USGS,08110100,2000-02-18,1.10,A
USGS,08110100,2000-02-19,0.92,A
USGS,08110100,2000-02-20,1.10,A
USGS,08110100,2000-02-21,0.88,A
USGS,08110100,2000-02-22,1.00,A
USGS,08110100,2000-02-23,1.20,A
USGS,08110100,2000-02-24,1.60,A
USGS,08110100,2000-02-25,2.10,A
USGS,08110100,2000-02-26,2.20,A
USGS,08110100,2000-02-27,1.50,A
USGS,08110100,2000-02-28,1.10,A
USGS,08110100,2000-02-29,0.98,A
USGS,08110100,2000-03-01,1.20,A
USGS,08110100,2000-03-02,1.40,A
USGS,08110100,2000-03-03,1.10,A
USGS,08110100,2000-03-04,0.70,A
USGS,08110100,2000-03-05,0.60,A
USGS,08110100,2000-03-06,0.68,A
USGS,08110100,2000-03-07,0.53,A
USGS,08110100,2000-03-08,0.52,A
USGS,08110100,2000-03-09,0.46,A
USGS,08110100,2000-03-10,10.0,A
USGS,08110100,2000-03-11,474,A
USGS,08110100,2000-03-12,55.0,A
USGS,08110100,2000-03-13,15.0,A
USGS,08110100,2000-03-14,11.0,A
USGS,08110100,2000-03-15,17.0,A
USGS,08110100,2000-03-16,26.0,A
USGS,08110100,2000-03-17,318,A
USGS,08110100,2000-03-18,482,A
USGS,08110100,2000-03-19,67.0,A
USGS,08110100,2000-03-20,26.0,A
USGS,08110100,2000-03-21,13.0,A
USGS,08110100,2000-03-22,13.0,A
USGS,08110100,2000-03-23,9.30,A
USGS,08110100,2000-03-24,7.20,A
USGS,08110100,2000-03-25,8.30,A
USGS,08110100,2000-03-26,7.10,A
USGS,08110100,2000-03-27,8.50,A
USGS,08110100,2000-03-28,8.00,A
USGS,08110100,2000-03-29,5.90,A
USGS,08110100,2000-03-30,4.30,A
USGS,08110100,2000-03-31,2.80,A
USGS,08110100,2000-04-01,3.00,A
USGS,08110100,2000-04-02,3.80,A
USGS,08110100,2000-04-03,74.0,A
USGS,08110100,2000-04-04,134,A
USGS,08110100,2000-04-05,39.0,A
USGS,08110100,2000-04-06,16.0,A
USGS,08110100,2000-04-07,9.20,A
USGS,08110100,2000-04-08,7.60,A
USGS,08110100,2000-04-09,4.30,A
USGS,08110100,2000-04-10,3.10,A
USGS,08110100,2000-04-11,2.20,A
USGS,08110100,2000-04-12,25.0,A
USGS,08110100,2000-04-13,62.0,A
USGS,08110100,2000-04-14,39.0,A
